USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  2.1  0.9  26040 17036 ?        Ss   17:28   0:05 /usr/lib/systemd/systemd --switched-root --system --deserialize=51 auto automatic-ubiquity noprompt
root           2  0.0  0.0      0     0 ?        S    17:28   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    17:28   0:00 [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-rcu_gp]
root           5  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-sync_wq]
root           6  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-kvfree_rcu_reclaim]
root           7  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-slub_flushwq]
root           8  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-netns]
root           9  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/0:0-events]
root          10  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/0:0H-kblockd]
root          11  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/0:1-cgroup_free]
root          12  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/u512:0-ipv6_addrconf]
root          13  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-mm_percpu_wq]
root          14  0.0  0.0      0     0 ?        S    17:28   0:00 [ksoftirqd/0]
root          15  0.0  0.0      0     0 ?        R    17:28   0:00 [rcu_preempt]
root          16  0.0  0.0      0     0 ?        S    17:28   0:00 [rcu_exp_par_gp_kthread_worker/1]
root          17  0.0  0.0      0     0 ?        S    17:28   0:00 [rcu_exp_gp_kthread_worker]
root          18  0.0  0.0      0     0 ?        S    17:28   0:00 [migration/0]
root          19  0.0  0.0      0     0 ?        S    17:28   0:00 [kprobe-optimizer]
root          20  0.0  0.0      0     0 ?        S    17:28   0:00 [idle_inject/0]
root          21  0.0  0.0      0     0 ?        S    17:28   0:00 [cpuhp/0]
root          22  0.0  0.0      0     0 ?        S    17:28   0:00 [cpuhp/1]
