USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  1.5  0.9  26432 15860 ?        Ss   12:08   0:37 /usr/lib/systemd/systemd --switched-root --system --deserialize=51 auto automatic-ubiquity noprompt
root           2  0.0  0.0      0     0 ?        S    12:08   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    12:08   0:00 [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-rcu_gp]
root           5  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-sync_wq]
root           6  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-kvfree_rcu_reclaim]
root           7  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-slub_flushwq]
root           8  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-netns]
root           9  0.3  0.0      0     0 ?        I    12:08   0:08 [kworker/0:0-events]
root          12  0.0  0.0      0     0 ?        I    12:08   0:00 [kworker/u512:0-ipv6_addrconf]
root          13  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-mm_percpu_wq]
root          14  0.0  0.0      0     0 ?        S    12:08   0:00 [ksoftirqd/0]
root          15  0.1  0.0      0     0 ?        I    12:08   0:04 [rcu_preempt]
root          16  0.0  0.0      0     0 ?        S    12:08   0:00 [rcu_exp_par_gp_kthread_worker/1]
root          17  0.0  0.0      0     0 ?        S    12:08   0:00 [rcu_exp_gp_kthread_worker]
root          18  0.0  0.0      0     0 ?        S    12:08   0:00 [migration/0]
root          19  0.0  0.0      0     0 ?        S    12:08   0:00 [kprobe-optimizer]
root          20  0.0  0.0      0     0 ?        S    12:08   0:00 [idle_inject/0]
root          21  0.0  0.0      0     0 ?        S    12:08   0:00 [cpuhp/0]
root          22  0.0  0.0      0     0 ?        S    12:08   0:00 [cpuhp/1]
root          23  0.0  0.0      0     0 ?        S    12:08   0:00 [idle_inject/1]
root          24  0.0  0.0      0     0 ?        S    12:08   0:00 [migration/1]
root          25  0.0  0.0      0     0 ?        S    12:08   0:00 [ksoftirqd/1]
root          28  0.0  0.0      0     0 ?        S    12:08   0:00 [cpuhp/2]
root          29  0.0  0.0      0     0 ?        S    12:08   0:00 [idle_inject/2]
root          30  0.0  0.0      0     0 ?        S    12:08   0:00 [migration/2]
root          31  0.0  0.0      0     0 ?        S    12:08   0:00 [ksoftirqd/2]
root          33  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/2:0H-kblockd]
root          34  0.0  0.0      0     0 ?        S    12:08   0:00 [cpuhp/3]
root          35  0.0  0.0      0     0 ?        S    12:08   0:00 [idle_inject/3]
root          36  0.0  0.0      0     0 ?        S    12:08   0:00 [migration/3]
root          37  0.0  0.0      0     0 ?        S    12:08   0:00 [ksoftirqd/3]
root          39  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/3:0H-kblockd]
root          44  0.0  0.0      0     0 ?        S    12:08   0:00 [kdevtmpfs]
root          45  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-inet_frag_wq]
root          46  0.0  0.0      0     0 ?        I    12:08   0:00 [rcu_tasks_kthread]
root          47  0.0  0.0      0     0 ?        I    12:08   0:00 [rcu_tasks_rude_kthread]
root          48  0.0  0.0      0     0 ?        S    12:08   0:00 [kauditd]
root          49  0.0  0.0      0     0 ?        S    12:08   0:00 [khungtaskd]
root          52  0.0  0.0      0     0 ?        S    12:08   0:00 [oom_reaper]
root          53  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-writeback]
root          54  0.3  0.0      0     0 ?        S    12:08   0:08 [kcompactd0]
root          55  0.0  0.0      0     0 ?        SN   12:08   0:00 [ksmd]
root          56  0.0  0.0      0     0 ?        SN   12:08   0:00 [khugepaged]
root          57  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-kblockd]
root          58  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-blkcg_punt_bio]
root          59  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-kintegrityd]
